frasa,frekuensi,lintang,bujur
pantai jungwok,9,-8.197822,110.71234
pantai sepanjang,9,-8.136653,110.566032
goa pindul,9,-7.926658,110.647774
mini zoo,9,-7.728865,110.35849
ulen sentalu,9,-7.598216,110.422847
candi ijo,10,-7.783827,110.511884
puncak becici,10,-7.902021,110.437515
pantai watu lumbung,10,-8.18601,110.700301
candi ratu boko,11,-7.770535,110.489446
pantai slili,11,-8.144966,110.602877
ledok sambi,11,-7.647081,110.428115
pinus mangunan,11,-7.926107,110.430465
sungai mudal,12,-7.762814,110.116163
heha forest,12,-7.626253,110.424458
heha sky view,12,-7.849614,110.478324
pantai sadranan,13,-8.145657,110.604421
puncak segoro,13,-8.101746,110.455602
pantai timang,13,-8.175917,110.662454
embung nglanggeran,13,-7.847131,110.546891
museum dewantara,13,-7.80542,110.378477
museum sandi,13,-7.784542,110.371187
pantai congot,14,-7.907542,110.053566
pantai wediombo,14,-8.187282,110.711882
pantai trisik,14,-7.967335,110.182607
pantai kukup,14,-8.133703,110.554761
embung tambakboyo,15,-7.756227,110.415013
tebing breksi,15,-7.780311,110.505342
pantai samas,15,-8.005454,110.26516
obelix hills,15,-7.806309,110.518469
heha ocean,15,-8.106066,110.46151
gunung api purba nglanggeran,16,-7.841973,110.541643
pantai mesra,17,-8.132765,110.553513
pantai siung,17,-8.181823,110.683239
jogja bay,17,-7.748407,110.418377
goa cemara,18,-7.999423,110.248963
pantai indrayanti,18,-8.150736,110.612346
pantai krakal,20,-8.145102,110.598801
alkid,20,-7.811877,110.363204
gembira loka,21,-7.804134,110.397988
gunung ireng,21,-7.881011,110.488578
bukit klangon,22,-7.576885,110.454845
pantai kesirat,22,-8.096138,110.435071
kebun buah mangunan,22,-7.941372,110.424734
taman sari,23,-7.809979,110.358991
museum affandi,23,-7.782713,110.396397
pinus pengger,24,-7.871191,110.459542
museum dirgantara,24,-7.790185,110.417293
pantai drini,26,-8.138441,110.577548
vredeburg,26,-7.800283,110.366187
museum benteng vredeburg,28,-7.800283,110.366187
pantai baron,29,-8.128825,110.548776
bukit pengilon,31,-8.185862,110.691577
