no,dtw,lintang,bujur,wadmkd,total
95,Kamwis Bausasran,-7.795853,110.374865,Bausasran,739
96,Kamwis Kauman,-7.803257,110.362265,Ngupasan,3623
97,Museum Jederal Sudirman,-7.802346,110.375473,Gunungketur,3428
98,Museum Benteng Vredeburg,-7.800283,110.366187,Ngupasan,500294
99,Museum Sandi,-7.784542,110.371187,Kota,21545
100,Museum Dr. Yap Prawirohusodo,-7.780112,110.373907,Terban,1900
101,Museum Pusat TNI AD Dharma Wiratama,-7.78291,110.375634,Terban,23833
102,Museum Monumen Pangeran Diponegoro,-7.787204,110.351444,Tegalrejo,538
103,Museum Perjuangan,-7.816477,110.3719,Brontokusuman,2984
104,Wahanarata/Museum Kereta Kraton,-7.805456,110.363029,Kadipaten,77737
105,Museum Intro Living Kotagede,-7.826327,110.392089,Prenggan,789
106,Museum Bahari,-7.801121,110.349334,Jl. R. E. Martadinata No. 69,570
107,TM 1 Malioboro,-7.792646,110.365871,Sosromenduran,3090657
108,Museum Batik Yogyakarta,-7.801107,110.364618,Ngupasan,490
109,Situs Warungboto,-7.810184,110.393307,Warungboto,4462
110,Desa Wisata Widosari,-7.661497,110.154288,Ngargosari,5496
111,Desa Wisata Sawah Surjan,-7.933649,110.149187,Pleret,0
112,Desa Wisata Sidorejo,-7.92425,110.244692,Ledok,140
113,Desa Wisata Jatirejo,-7.930105,110.230967,Jatirejo,21007
114,Desa Wisata Sukoreno,-7.859553,110.212965,Sukoreno,107
115,Desa Wisata Glagah,-7.903164,110.072861,Glagah,232
116,Desa Wisata Jatimulyo,-7.752612,110.130782,Jatimulyo,933
117,Desa Wisata Purwosari,-7.734916,110.133405,Purwosari,4789
118,Desa Wisata Kalibiru,-7.807406,110.129265,Hargowilis,19427
119,Desa Wisata Hargorejo,-7.870126,110.110985,Hargorejo,0
120,Desa Wisata Sermo,-7.820129,110.122601,Hargowilis,863
121,Desa Wisata Dekso,-7.683728,110.258667,Banjajarum,70
122,Desa Wisata Banjarasri,-7.698513,110.225449,Banjarasri,2128
123,Desa Wisata Hargotirto,-7.799373,110.116709,Hargotirto,2102
124,Desa Wisata Banjaroya,-7.652235,110.255896,Banjaroya,12615
125,Desa Wisata Tinalah,-7.712533,110.204554,Purwoharjo,8740
126,Desa Wisata Nglinggo,-7.647656,110.141858,Pagerharjo,29314
127,Glamping Menoreh,-7.656486,110.140185,Pagerharjo,15368
128,Mengger Kemuning Waduk Sermo,-7.822714,110.108505,Hargowilis,694
129,Panorama Setro,-7.823259,110.106421,Hargowilis,2237
130,Mahaloka Paradise,-7.747152,110.205584,Kembang,29259
131,Towilfiets,-7.822057,110.231947,Banguncipto,369
132,Dolan Deso,-7.698432,110.222093,Banjarasri,35561
133,Ayunan Langit,-7.735635,110.130326,Purwosari,1702
134,Mangrove Wanatirta,-7.893331,110.019828,Jangkaran,1159
135,Arus Progo Rafting,-7.720199,110.230646,Banjajarum,60
136,Rumah Sandi Negara,-7.708125,110.203514,Purwoharjo,1510
137,Goa Kebon,-7.887072,110.186695,Krembangan,5244
138,Mangrove Jembatan Api-api,-7.893721,110.025967,Jangkaran,18119
139,Kebun The Nglinggo,-7.646285,110.143819,Pagerharjo,200
140,Kawasan Jatimulyo,-7.766656,110.116009,Jatimulyo,22817
141,Kawasan Menoreh/Menoreh View,-7.749531,110.2061,Kembang,5733
